"Installments", "Installments"
"Allowed Installments (comma separated values)","Allowed Installments (comma separated values)"
"%s installments without interest","%s installments without interest"
"Full payment","Full payment"
"Invalid authorization amount: response amount = %s does not match initial authorization amount = %s","Invalid authorization amount: response amount = %s does not match initial authorization amount = %s"
"There was an error processing your order. Please contact us or try again later.","There was an error processing your order. Please contact us or try again later."
"Authorized amount of %s approved by payment gateway.","Authorized amount of %s approved by payment gateway."
"Refund response from gateway is valid.","Refund response from gateway is valid."
"Capture response from gateway is valid.","Capture response from gateway is valid."
"Invalid response returned from payment gateway!","Invalid response returned from payment gateway!"
"This Payment Module does not work in test mode!","This Payment Module does not work in test mode!"